,text,lang
19189, ittymani fansin pokunnavar ivde like chey,4
12776, neraya neraya neraya intha padaththula ethirparkuran... thala...,3
3312,awards for janine turner from the internet movie database,1
1834, enthaa trailer pathaa yaaruku kgf   flash avudhu,3
6849,dont worry mil jaega,2
17462,shia death squads target iraqi gays    us indifferent,1
14422,he was tormented by the riddles of existence,1
14219, aa thodakathile august cinemas eenu title card varumbol olla bgm pwoli,4
21880, soori illama iruntha movie supper hit,3
6077, ikkayude kali mollywood kaanaan pokunnathe ullu. maamangam,4
18469, trailer kandappo oru pratheeksha und,4
21697,inni kanji chodichu arum varandaa....assalu biriyani thanne thannittund.         lucifer,4
20452,din mein jyada disturb nahin karnaa aapko,2
2355,educated at brondesbury college he left after just six terms,1
6334,some people still eat it in a bowl of hot milk,1
20450,that is good ha,2
822,he graduated from dartmouth college in 1933,1
2316,ladake hee female ban ke baat karate h,2
19906, ithenthu killichundan mambazhama.... ithokke namude raju ettanu koduthal pollichadukiyene..,4
10712, heavy waiting,4
3779, minimum 3 thavana kanathathayi arum kanilla....,4
17562, support cheyyan lalettan fans undoo ivide ????,4
2462, thalivaaa nee vera level  padam parakum,3
5661,varana koee baat nahin,2
8476,film hitayalum floppayalum trailerinirikate oru kuthirappavan,4
21370," looks thrilling, thala get up super as lawyer , dai pandey neeya da",3
9727,ye baat to hai bhaee,2
680,nick currently lives in leighton buzzard bedfordshire,1
9687, thala yoda last dialog sema mass vera level  thala always great,3
21855,lucifer lostfer aavandirunna mathiyayirunnu .kandittu adutha floapinulla sakalathum kaanunnundu,4
2934,toh time pass ho jaaye,2
22650,it is therefore a tax on consumer expenditure,1
6191,copy cheythathu moshamayi poi chethatho cheythu korachu nannayi cheyyamayirunnu,4
22448, see clear last seen vasikaran is akshay kumar,3
21029,mainne apana photo bheja hai lekin yah kaam nahin karata hai,2
8741, ho my god... soooooooooooooooooooooooooooooooper... dislike adicha pottimaanikal chankupottychaakum,4
18118,many victims were buried without being identified,1
13735,wait and see ok.    ...,3
5071, thalaivarku etha seriyana villan namba sethu thaan,3
6097, naalaiku thala darisanam wait panna mudiyala innaiku full ah nkp trailer paakravanga oru like a podunga,3
22296,environment with line that,1
6038,pinneyum pinneyum trailer kaanan thoonnu enikke ningalkko?,4
