,text,lang,is_valid
19189, ittymani fansin pokunnavar ivde like chey,4,0
12776, neraya neraya neraya intha padaththula ethirparkuran... thala...,3,0
3312,awards for janine turner from the internet movie database,1,0
1834, enthaa trailer pathaa yaaruku kgf   flash avudhu,3,0
6849,dont worry mil jaega,2,0
17462,shia death squads target iraqi gays    us indifferent,1,0
14422,he was tormented by the riddles of existence,1,0
14219, aa thodakathile august cinemas eenu title card varumbol olla bgm pwoli,4,0
21880, soori illama iruntha movie supper hit,3,0
6077, ikkayude kali mollywood kaanaan pokunnathe ullu. maamangam,4,0
18469, trailer kandappo oru pratheeksha und,4,0
21697,inni kanji chodichu arum varandaa....assalu biriyani thanne thannittund.         lucifer,4,0
20452,din mein jyada disturb nahin karnaa aapko,2,0
2355,educated at brondesbury college he left after just six terms,1,0
6334,some people still eat it in a bowl of hot milk,1,0
20450,that is good ha,2,0
822,he graduated from dartmouth college in 1933,1,0
2316,ladake hee female ban ke baat karate h,2,0
19906, ithenthu killichundan mambazhama.... ithokke namude raju ettanu koduthal pollichadukiyene..,4,0
10712, heavy waiting,4,0
3779, minimum 3 thavana kanathathayi arum kanilla....,4,0
17562, support cheyyan lalettan fans undoo ivide ????,4,0
2462, thalivaaa nee vera level  padam parakum,3,0
5661,varana koee baat nahin,2,0
8476,film hitayalum floppayalum trailerinirikate oru kuthirappavan,4,0
21370," looks thrilling, thala get up super as lawyer , dai pandey neeya da",3,0
9727,ye baat to hai bhaee,2,0
680,nick currently lives in leighton buzzard bedfordshire,1,0
9687, thala yoda last dialog sema mass vera level  thala always great,3,0
21855,lucifer lostfer aavandirunna mathiyayirunnu .kandittu adutha floapinulla sakalathum kaanunnundu,4,0
2934,toh time pass ho jaaye,2,0
22650,it is therefore a tax on consumer expenditure,1,0
6191,copy cheythathu moshamayi poi chethatho cheythu korachu nannayi cheyyamayirunnu,4,0
22448, see clear last seen vasikaran is akshay kumar,3,0
21029,mainne apana photo bheja hai lekin yah kaam nahin karata hai,2,0
8741, ho my god... soooooooooooooooooooooooooooooooper... dislike adicha pottimaanikal chankupottychaakum,4,0
18118,many victims were buried without being identified,1,0
13735,wait and see ok.    ...,3,0
5071, thalaivarku etha seriyana villan namba sethu thaan,3,0
6097, naalaiku thala darisanam wait panna mudiyala innaiku full ah nkp trailer paakravanga oru like a podunga,3,0
22296,environment with line that,1,0
6038,pinneyum pinneyum trailer kaanan thoonnu enikke ningalkko?,4,0
2669,mev electrons trapped by the earths magnetosphere,1,0
3471, sivakumar ah villana potruklam just miss,3,0
1598, parvaiyee vera level la iruke....n k p...,3,0
14645,in old construction lead plumbing was common,1,0
3649,during the 1860s the postal authorities became concerned about postage stamp reuse,1,0
14067, oru pulimurugan chaya kachal idaku ille ennu doubt illathe illa🤔,4,0
12021,without member ethnic her,1,0
9365,but aap hindi kaise bol letee ho,2,0
1938,"vayasanalum unnoda style lum, azhagum unna vitu pogala thalaiva",3,0
14946, nta daivamme ....ponnu laletta  ningal muthannu,4,0
14824,isamen lagane ka kya hai,2,0
21138, oru 18,4,0
2616, enne pole lalettan mammookka hybrid fan arellum undoo..ullavar like amarthy pwolikku,4,0
17536,kudu records was ctis sister label,1,0
22676,aur kuchh batao id baare,2,0
15261,they are powerful enemies of earth,1,0
17135, nice trailer.  orupadu new young stars mammookka movies vazhi prekshaka sradha aakarshikkappedum ennu thonnunnu.  all the best,4,0
7218,ye rose tumhaare lie,2,0
11716,an integrated model of cognitive control in task switching,1,0
16482, anybody felt like vikrams look resembling captain ajith vadakayil??,3,0
14179, apdilam nadakadhu nadakavm kudadhu mass pa,3,0
10207,local administrators are all appointed by and responsible to the president,1,0
11320, kaithi miga periya vettri vazthukal behalf thalapathy fans,3,0
8564, ithrayum nal nammal avarude padam kandu inni avar nammu padam kanatte #mammucka lovers,4,0
7423,film kandittum trailer kandukondirikkunnavar like adi,4,0
12319, english la eduthurukalam... hollywood level la iruku...,3,0
7356, entammoooooooo..enikku kanan vayyaye.....ente ettaaaaaaaaaaaaaaa...........onnum parayan thonnunilla.....njan sthabhichu poyiiii.........,4,0
11490,ithu kandappo oru vellimoonga style thonniyathu enikk mathram aano.... ithonnu kandu nokku,4,0
15177,the latter is a rough translation of sapphos poem 31 ,1,0
6783,fans show ticket kittiyar like adik !!!!,4,0
16583, pakathane poringa viswasam ah petta ah nu?🤗🤗,3,0
4806,rarely koee real ladakee hai yahaan,2,0
22257,mushroom of ages volume 33 chapter 3,1,0
10508, erira nerupu mathiri iruku trailer  inemla thalaaaaaa than massssaa,3,0
17506, ellarum ikka ikkaa...njan mathram anooo unni chettane mention cheyunnadh...unni chettante pwoli,4,0
11283,arenkilum poi aa  srreeeekumaarane onnu vilich kaanich kodukkedoo  entha  etha  cinemannu  .....&&&&@@@,4,0
15849, trailer കാണാൻ വേണ്ടി urakathe kathe ninvar ലൈക്‌ adi,4,0
12691,and now if uh will not reply,2,0
19647,jee to gender hee bata deejiye,2,0
5379,a railroad provided transportation for passengers and goods,1,0
3652,this is also backed up by etymological and internal datadolgopolsky,1,0
12148,itanee der se name poochha bataaya nahin,2,0
6959,these apis can also be used where saas integration with in house systems is required,1,0
218,"trailer oda kadaisi dialogue, kola mass",3,0
16992, ule poyi pani noku  thalapaty 63 teaser varattu  marana milin viwers irukku from kerala,3,0
18509, kidivey ennu parayunnilla athilum valuthikka prathekshakalkkappuram,4,0
2592, asifikkane kanikunudonn nokkiyth njn mathram aano,4,0
4906,and look now at this time its your jammer problem,2,0
