,text,lang
19306, 1.01 prithviraj anenn manasilayavar like adik,4
13031, rajani sir gr8 man  agree hit like,3
3135,it also features motion blur unlike its predecessor,1
1767,petta vs viswasam  petta like viswasam comment,3
7086,but even then yaar real identity toh connect kar hee sakate issue lage toh block kar dena,2
17170,famous kings of meliboea were,1
13964,he developed a left nationalist socialist ideology called zambian humanism,1
14272, 6.3 dislike veru verupp athanne karanam,4
21879,thala ya thani eduthutu vandhu irundha ......,3
6016, raja raja raja...madhura veera raja,4
18581,ethakayo pundakal e myre eragiyal lucifer trailer  kadathum enokke paraniju enitte enthayi obiyille latettane thopikan avilla mammu,4
21790, agane veedum oru mass's padam mm...,4
20525,kahaan se ho aap,2
2262,ose is married to lynnda ose,1
5909,a kathleen integrity parties,1
20510,you are steady now,2
935,when mixed with eugenol a chelate zinc oxide eugenol is formed which has dental restoration and prosthodontics applications in dentistry,1
2430,okay next week aata hoon,2
20031, mamangam marana mass akum allathe pinne,4
10651, kidu   padam kidu aayaa mathiyaairinnu,4
3723, jayasurya mass look! and super trailer,4
17746, bgm kollam greater father ila villianila poola,4
2458, 780k likes waiting for 1 million like,3
5975,okay send me friend request please did you find me on facebook,2
8321, 0.50 athu nammude marimayam unni alle?,4
21338, nan tha 1 st like vera level anna,3
9989,mai delhi main hee hu,2
725,it is only found on the andaman islands,1
10053, saaho 7.1 million vandhudhuchu trending la nerunga vidhadheenga thalafans nkp trailer views ethunga pangaaligala,3
21901, padam kandit trailer kanan vannavarundooo,4
3179,bhaee phirase too hee connect ho gaya re,2
22600,see  group of seven art gallery tour a y jackson,1
6107, padam nalladalla ennulla abiprayam kettukond poya enik predeeshichadilum nalla super padam kanan kaziju cash povilla 101%,4
22473, still acting like a youngster...chiyaan vikram,3
21135,naam bee naee suna,2
8588,ikkayudea look istham ayavar ividea like adikk 🤘,4
17886,she was a student of zhong yao,1
14077, dialogue ellam semma mass... 10 varusam ulla eruthathu thaney theyrium athu ku munnati .... semmmaaaaaa...,3
5181, 2k doubt. mini love series,3
6348,adapaavingala trailer naa open pannumbodhu 6th view paarthu muduchitu varumbodhu 20k ahhh thalaivaaaa nee gethu dhaaa,3
