,text,lang,is_valid
19306, 1.01 prithviraj anenn manasilayavar like adik,4,0
13031, rajani sir gr8 man  agree hit like,3,0
3135,it also features motion blur unlike its predecessor,1,0
1767,petta vs viswasam  petta like viswasam comment,3,0
7086,but even then yaar real identity toh connect kar hee sakate issue lage toh block kar dena,2,0
17170,famous kings of meliboea were,1,0
13964,he developed a left nationalist socialist ideology called zambian humanism,1,0
14272, 6.3 dislike veru verupp athanne karanam,4,0
21879,thala ya thani eduthutu vandhu irundha ......,3,0
6016, raja raja raja...madhura veera raja,4,0
18581,ethakayo pundakal e myre eragiyal lucifer trailer  kadathum enokke paraniju enitte enthayi obiyille latettane thopikan avilla mammu,4,0
21790, agane veedum oru mass's padam mm...,4,0
20525,kahaan se ho aap,2,0
2262,ose is married to lynnda ose,1,0
5909,a kathleen integrity parties,1,0
20510,you are steady now,2,0
935,when mixed with eugenol a chelate zinc oxide eugenol is formed which has dental restoration and prosthodontics applications in dentistry,1,0
2430,okay next week aata hoon,2,0
20031, mamangam marana mass akum allathe pinne,4,0
10651, kidu   padam kidu aayaa mathiyaairinnu,4,0
3723, jayasurya mass look! and super trailer,4,0
17746, bgm kollam greater father ila villianila poola,4,0
2458, 780k likes waiting for 1 million like,3,0
5975,okay send me friend request please did you find me on facebook,2,0
8321, 0.50 athu nammude marimayam unni alle?,4,0
21338, nan tha 1 st like vera level anna,3,0
9989,mai delhi main hee hu,2,0
725,it is only found on the andaman islands,1,0
10053, saaho 7.1 million vandhudhuchu trending la nerunga vidhadheenga thalafans nkp trailer views ethunga pangaaligala,3,0
21901, padam kandit trailer kanan vannavarundooo,4,0
3179,bhaee phirase too hee connect ho gaya re,2,0
22600,see  group of seven art gallery tour a y jackson,1,0
6107, padam nalladalla ennulla abiprayam kettukond poya enik predeeshichadilum nalla super padam kanan kaziju cash povilla 101%,4,0
22473, still acting like a youngster...chiyaan vikram,3,0
21135,naam bee naee suna,2,0
8588,ikkayudea look istham ayavar ividea like adikk 🤘,4,0
17886,she was a student of zhong yao,1,0
14077, dialogue ellam semma mass... 10 varusam ulla eruthathu thaney theyrium athu ku munnati .... semmmaaaaaa...,3,0
5181, 2k doubt. mini love series,3,0
6348,adapaavingala trailer naa open pannumbodhu 6th view paarthu muduchitu varumbodhu 20k ahhh thalaivaaaa nee gethu dhaaa,3,0
22253,1974	fa cup winners first division runners up,1,0
5963, kashtapettu unlike cheyyunnavar aaruda fans ennathinu samsayamilla  iniyatra unlike adichalum avarkariyam padam records bedikumennu,4,0
2559,comparisons between lmwhs prepared by similar processes vary,1,0
3511, gommala vaaa thaliva neee vaaa thalaiva,3,0
1501," nammakitta kaadu irundha eduthukuvanunga, rupa irundha eduthukuvanunga, padipu irundha yavanalum edukamudiyadhu.....",3,0
14180,he is born as bhishma,1,0
3400,he is a keen supporter of leeds united,1,0
14076, mammooty fansavm dislike adiche poi madhurajak adikadaa etu vere levela mone dineshaa,4,0
11538,hcmv is one of the torch infections that lead to congenital abnormalities,1,0
9719,firstly tell yours na,2,0
1904, naan pakka thalapathi fan ana padam supara irukum all thalapathi fan wishes,3,0
15085, ikka mass kolamass no raksha,4,0
14976,leg piece alag hota,2,0
21244, naan thala kidayaathu thala arukkuravan ejjathi dialogue,4,0
2566, malayala cinema heightsukal keezhadakunnu... innevare ulla cinemakalil ninn vyathasthaamaayi chithreekarikunnu... proud to us...,4,0
17236,it also has the worlds third longest single span,1,0
22699,sahee hai decision hee mat lo,2,0
14821,advanced precomputation methods exist that are even more effective,1,0
17354, kasab filmil mammooty ye matti tovino akiya pole ondu telugu padam pole,4,0
7454,mujh par to gussa nahin aaega na,2,0
11170,power lines have a defined maximum load,1,0
16457,anirudh ji sirappana tharamana bgm ji🤙🤙🤙,3,0
14475, move pathutu vanthu trailer pakurvnga yaru,3,0
9757,incarnation allows players to individualize their game characters,1,0
11632, #01 on trending in sri lanka,3,0
8393, katt waiting far lalattan far lusifer,4,0
7357,mamangam mohanlalum marakkar mammookkayum ayirunnenkil.ith chanthuvine ormippikkunnu,4,0
12642, life time viewae 11m thaandathu pola. kodumai.,3,0
7272,mammukka fans  suriya fans  vijay fans like adikk ivide,4,0
11452, padam release cheyunne annu thanne kanumanne urapullavar like adike machanmaree,4,0
14748,expressed mathematically this assumption may be written as,1,0
6690, bro full support rock man allel,4,0
16539, en thalaivanukku mattum markandeyan varam kidachu iruntha sema,3,0
5069,mein agra se hu bhaee,2,0
22203,it was used to carry dispatches for the war between france and austria,1,0
10813, santhosh narayan music pottu iruntha innum nalla irunthu irukum .,3,0
